日期,七彩椒(1),七彩椒(2),上海青,上海青(份),东门口小白菜,云南油麦菜,云南油麦菜(份),云南生菜,云南生菜(份),余干椒,冰草,冰草(盒),净藕(1),净藕(3),双孢菇,双孢菇(盒),双沟白菜,和丰阳光海鲜菇(包),四川红香椿,圆茄子(2),外地茼蒿,大白菜,奶白菜,姜蒜小米椒组合装(小份),姬菇(1),姬菇(份),姬菇(包),娃娃菜,小白菜,小皱皮,小皱皮(份),小米椒,小米椒(份),小青菜(1),平菇,春菜,木耳菜,木耳菜(份),本地上海青,杏鲍菇(1),杏鲍菇(2),杏鲍菇(袋),枝江红菜苔,枝江青梗散花,水果辣椒,水果辣椒(份),水果辣椒(橙色),泡泡椒(精品),洪山菜薹珍品手提袋,洪山菜薹莲藕拼装礼盒,洪湖莲藕(粉藕),洪湖藕带,活体银耳,海鲜菇(1),海鲜菇(包),海鲜菇(袋)(3),海鲜菇(袋)(4),灯笼椒(1),灯笼椒(2),牛首生菜,甘蓝叶,甜白菜,田七,白玉菇(1),白玉菇(2),白玉菇(袋),竹叶菜,竹叶菜(份),紫白菜(1),紫苏,紫茄子(1),紫茄子(2),紫贝菜,红尖椒,红杭椒,红杭椒(份),红椒(1),红椒(2),红灯笼椒(1),红灯笼椒(2),红线椒,红莲藕带,红薯尖,组合椒系列,芜湖青椒(1),芜湖青椒(2),芝麻苋菜,芥兰,花茄子,苋菜,苋菜(份),茶树菇(袋),荸荠,莲蓬(个),菌菇火锅套餐(份),菌蔬四宝(份),菜心,菜心(份),菠菜,菠菜(份),菱角,萝卜叶,虫草花,虫草花(份),螺丝椒,螺丝椒(份),蟹味菇(1),蟹味菇(袋),蟹味菇与白玉菇双拼(盒),襄甜红菜苔(袋),西兰花,西峡花菇(1),西峡香菇(1),野生粉藕,野藕(1),金针菇(1),金针菇(2),金针菇(份),金针菇(盒),金针菇(袋)(2),银耳(朵),长线茄,随州泡泡青,青尖椒,青尖椒(份),青杭椒(1),青杭椒(2),青梗散花,青红杭椒组合装(份),青线椒,青线椒(份),青茄子(1),青菜苔,高瓜(1),高瓜(2),鱼腥草(份),鲜木耳(1),鲜木耳(份),鲜藕带(袋),鸡枞菌,黄心菜(1),黄心菜(2),黄白菜(2)
2020-07-01,7.58,,7.03,,,3.44,,6.72,,,,,,,,,,,,,11.69,2.1,,,8.16,,,4.13,9.24,,,12.1,,,,,4.2,,,6.16,,,,,,,,4.32,,,,29.43,,10.29,,,,7.5,,,,4.44,,,,,3.19,,,,,6.56,,,7.83,,5.76,,8.24,,,,3.6,,,,,,,3.88,,,,,,,4.6,,8.47,,,,,,,,,,,,9.23,,10.8,,,4.06,,,,,,,,4.64,,,,6.03,,6.81,,1.63,,5.65,,,,,,,3.97,,4.63
2020-07-02,7.33,,7.03,,6.83,3.58,,4.23,,,,,,,,,,,,,11.75,2.1,,,8.05,,,4.11,9.19,,,12.13,,,,,4.23,,,6.15,,,,,,,,4.48,,,,29.54,,10.13,,,,6.46,,,,4.44,,,,,3.18,,,,,3.72,,,7.27,,5.71,,8.24,,,,3.6,,,,,,,3.93,,,,,,,4.52,,7.88,,,,,,7.1,,,,,,8.9,,10.8,,,4.05,,,,,,,,4.57,,,,5.52,,6.85,,1.46,,5.76,,,,,,,3.97,,4.76
2020-07-03,6.21,,6.76,,6.88,3.75,,4.61,,,,,,,,,,,,,11.75,2.11,,,7.9,,,4.05,9.2,,,12.2,,,,,4.3,,,6.32,,,,,,,,5.31,,,,,,10.05,,,,6.23,,,,4.47,,,,,3.79,,,,,6.56,,,6.75,,5.7,,7.0,,,,3.6,,,,,,,3.57,,,,,,,3.89,,,,,,,,6.58,,,,,,8.97,,10.8,,,4.05,,,,,,,,4.42,,,,4.81,,8.07,,1.48,,5.61,,,,,,,3.98,,4.74
2020-07-04,7.43,,6.56,,7.21,3.75,,5.77,,,,,,,,,,,,,,2.21,,,7.79,,,4.09,9.16,,,12.08,,,,,4.28,,,6.0,,,,,,,,5.16,,,,25.48,,10.08,,,,7.23,,,,4.44,,,,,3.46,,,,,3.94,,,5.9,,5.42,,7.37,,,,,,,,,,,,,,,,,,3.53,,,,,,,,6.0,,,,,,9.27,,12.0,,,4.05,,,,,,,,4.41,,,,4.71,,6.09,,1.98,,5.41,,,,,,,4.01,,4.63
2020-07-05,8.35,,6.56,,7.03,3.75,,5.77,,,,,,,,,,,,,,2.2,,,7.9,,,4.1,10.0,,,11.67,,,,,4.31,,,6.16,,,,,,,,5.16,,,,,,,,,,7.23,,,,4.44,,,,,3.45,,,,,4.24,,,5.83,,5.44,,7.3,,,,3.6,,,,,,,3.48,,,,,,,4.04,,,,,,,,7.95,,,,,,9.47,,12.0,,,4.05,,,,,,,,4.35,,,,4.93,,6.3,,2.04,,5.42,,,,,,,,,4.75
2020-07-06,8.44,,6.25,,,3.65,,6.48,,,,,,,,,,,,,9.17,2.2,,,7.89,,,4.06,9.23,,,11.68,,,,,4.21,,,6.14,,,,,,,,4.98,,,,,,10.09,,,,7.38,,,,4.44,,,,,3.18,,,,,4.49,,,5.82,,5.41,,8.05,,,,3.6,,,,,,,3.35,,,,,,,4.55,,,,,,,,8.16,,,,,,9.48,,12.0,,,4.06,,,,,,,,4.41,,,,5.6,,6.42,,2.05,,5.45,,,,,,,,,5.31
2020-07-07,8.46,,6.25,,4.32,3.73,,6.92,,,,,,,,,,,,,9.42,2.2,,,7.88,,,4.07,9.9,,,11.69,,,8.0,,4.21,,,6.13,,,,,,,,4.75,,,,,,10.05,,,,6.19,,,,4.44,,,,,3.18,,,,,4.75,,,5.8,,5.48,,10.56,,,,3.6,,,,,,,3.26,,,,,,,4.65,,,,,,,,8.08,,,,,,9.16,,12.0,,,4.05,,,,,,,,4.6,,,,5.44,,6.6,,2.05,,5.46,,,,,,,,,5.31
2021-07-01,6.57,,3.94,,3.48,3.02,,4.9,,,8.46,,11.0,,16.17,,,,,3.39,7.63,1.5,2.0,,7.94,,,4.12,9.22,,,7.03,,,,,3.1,,,5.47,,2.46,,,,,,,,,,18.0,,8.43,,,1.77,,,,,,,,,3.15,2.22,,,,,4.2,,3.27,8.25,,4.66,,4.2,,,,2.0,2.4,2.67,,,,,1.81,,,,,,,3.91,,7.63,,,,16.92,,3.5,,,,,,6.39,,12.0,,,3.14,,,,,,,,2.71,,3.0,4.15,4.6,,4.11,,1.0,,4.15,,,,,,,3.87,,3.62
2021-07-02,,,3.93,,3.66,3.04,,4.91,,,8.38,,11.0,,16.18,,,,,2.87,,1.5,2.0,,7.94,,3.19,4.1,9.14,,,7.04,,,,,3.11,,,5.67,,,,,,,,,,,,18.0,,8.56,,,1.77,,,,,,4.31,,,3.17,2.25,,,,,4.23,,3.28,8.07,,4.58,,,,,,2.0,2.4,2.75,,,,,1.81,,,,,,,4.0,,7.52,,,,,,5.42,,,,,,5.73,,12.0,,,3.14,,,,,,2.19,,2.91,,,4.09,4.48,,4.11,,1.01,,4.14,,,7.44,,,,3.87,,3.6
2021-07-03,6.4,,3.93,,3.57,3.03,,4.89,,,7.51,,11.0,,16.21,,,,,3.14,8.31,1.5,2.0,,7.85,,3.18,4.1,8.84,,,7.06,,,,,3.09,,1.0,5.56,,,,,,,,,,,,18.0,,8.17,,,1.88,4.15,,,,,4.27,,,3.22,2.26,,,,,4.15,,3.28,8.0,,4.25,,,,7.2,,2.0,2.4,2.74,,,,,1.79,,,,1.47,,,4.01,,6.67,,,,16.89,,5.02,,,,,,5.6,,12.0,,,3.2,,,,,,,,2.38,,,4.0,4.46,,4.43,,1.0,,4.1,,,7.41,,,,3.7,,3.59
2021-07-04,,,3.94,,3.1,3.04,,4.88,,,7.39,,11.0,,16.18,,,,,3.2,9.06,1.5,2.0,,7.82,,3.2,4.1,9.1,,,7.0,,,,,3.08,,,5.39,,2.17,,,,,,,,,,18.0,,8.33,,,1.66,,,,,,3.19,,,3.2,2.25,,,,,3.63,,3.12,6.01,,4.2,,5.37,,7.2,,2.0,2.4,2.86,,,,,2.62,,,,1.22,,,3.83,,6.39,,,,16.58,,5.42,,,,,,5.7,,12.6,,,3.4,,,,,,,,3.07,,5.02,3.88,3.65,,4.06,,1.02,,3.9,,,7.46,,,,3.02,,3.61
2021-07-05,,,3.97,,3.1,3.03,,4.85,,,7.39,,11.0,,16.22,,,,,3.18,9.46,1.47,2.0,,7.87,,3.2,4.1,9.8,,,6.87,,,,,2.81,,,5.4,,2.22,,,,,,,,,,18.0,,8.41,,,,3.65,,,,,3.22,,,3.24,2.24,,,,,3.35,,2.95,6.28,,4.22,,5.37,,7.31,,2.0,,2.91,,,,,2.16,,,,1.26,,,3.85,,6.4,,,,16.71,,4.91,,,,,,5.61,,12.6,,,3.65,,,,,,2.22,,2.9,,5.0,3.88,3.54,,4.51,,0.99,,3.91,,,7.44,,,,3.03,,3.04
2021-07-06,,,3.96,,2.75,3.03,,4.8,,,7.39,,11.0,,16.2,,,,,3.21,10.0,1.4,2.0,,7.75,,,4.09,10.46,,,6.87,,,,,2.69,,,5.36,,2.22,,,,,,,,,,18.0,,8.43,,,,3.65,,,,,3.24,,,3.25,2.14,,,,,3.35,,2.91,,,3.51,,5.4,,7.39,,2.0,2.4,2.86,,,,,2.05,,,,,,,3.83,,6.47,,,,16.7,,4.79,,,,,,5.6,,12.6,,,3.64,,,,,,2.22,,2.95,,5.0,3.86,3.55,,4.77,,1.01,,3.95,,,7.45,,,,3.05,,2.94
2021-07-07,,,3.96,,2.69,2.94,,4.4,,,7.39,,11.0,,16.18,,,,,3.22,10.64,1.4,2.0,,7.69,,,4.08,10.4,,,6.96,,,,,1.83,,,5.23,,,,,,,,,,,,18.0,,8.42,,,1.67,3.62,,,,,,,,3.24,2.05,,,,,3.34,,2.9,6.34,,3.68,,5.43,,7.39,,2.0,,2.87,,,,,2.05,,,,,,,3.83,,6.47,,,,16.75,,4.72,,,,,,5.68,,12.6,,,3.64,,,,,,2.21,,3.18,,5.02,3.86,3.52,,5.04,,0.97,,3.95,,,,,,,3.05,,3.13
2022-07-01,19.9,,3.62,,,4.47,,4.45,2.06,,,,9.21,,,3.63,,,,4.43,,1.2,1.6,,,,,2.98,7.3,6.7,,18.79,2.36,3.16,4.63,,2.28,,,,,2.77,,5.13,12.32,,,,,,,21.0,,6.57,,1.8,,,,,,,,,,,1.8,0.8,,11.01,,4.75,,5.4,12.23,,6.59,,9.8,,9.69,,2.0,,8.04,,,,8.56,1.79,,,,,,,2.6,,7.86,3.21,10.36,,12.28,,8.85,,,,,,5.99,,12.6,,,4.19,,,1.9,,,4.15,2.2,,,,,4.4,,,,1.76,,8.21,,,,,,,2.4,,3.81
2022-07-02,,,3.5,,,4.17,,4.38,2.06,,6.84,,8.67,,,3.65,,,,4.57,,,1.6,,6.4,,,3.35,8.04,,1.34,18.52,2.42,3.52,4.63,,1.95,,,5.54,,2.85,,4.57,13.52,,,,,,,19.86,,,,1.8,,,,,,,,,,2.48,1.75,0.73,,,,4.67,,7.01,12.26,,8.14,,9.7,8.79,9.68,,2.0,,7.99,,,,8.57,1.78,0.67,,,1.51,,,2.6,0.81,7.86,2.65,10.24,,7.5,,6.59,,1.7,,,,6.14,,12.6,,,3.93,,,1.91,,,3.38,2.2,,1.48,,,4.44,,7.81,,1.75,,8.26,,,7.41,,,,2.44,2.56,3.69
2022-07-03,,,3.42,,,3.9,,4.27,,,6.86,,8.0,,,3.66,,,,4.66,,1.2,1.76,,,,2.89,3.17,8.84,,,18.25,2.44,3.58,4.6,,1.81,,,5.59,,2.92,,4.68,13.52,3.51,,,,,,19.0,,6.58,,1.83,,,,0.5,,,,,,2.34,1.64,,,,,4.49,,7.02,12.29,,7.77,,9.4,,9.68,,2.0,,8.0,,,,8.57,1.92,,,,2.03,,,2.6,,8.33,,10.19,,12.98,,7.6,,1.82,,,,6.4,,12.6,,,4.16,,,1.91,,,3.45,,,1.5,,9.53,4.62,,7.97,,1.73,,8.25,,,,,,,2.49,2.45,3.64
2022-07-04,17.15,,3.4,,,,,4.17,,,8.49,,8.03,,,3.46,,,,3.69,,1.1,2.4,,6.88,,,3.42,9.06,9.43,1.79,18.25,2.44,4.02,4.43,,1.87,,,5.55,,2.93,,,13.68,3.6,,,,,,19.0,,6.6,,1.81,,,,,,,,,,,1.85,,,,,4.48,,7.85,12.57,,7.88,,8.98,,9.68,,2.0,,8.08,,,,9.67,1.85,,,,,,,2.6,,9.06,,10.0,,14.08,,7.36,,,,,,6.27,,13.2,,,4.34,,,1.29,,,3.5,,,,,9.53,4.8,,7.2,,1.63,,8.22,,,,1.48,,,2.85,3.95,3.64
2022-07-05,17.17,17.96,3.44,,,3.5,,3.82,,14.06,8.48,,7.85,,,3.46,,,,3.68,,1.1,2.4,,6.88,,3.09,3.43,9.06,10.13,1.79,18.24,2.44,4.37,4.42,,1.94,,,5.52,,2.9,,4.71,13.67,,,,,,,19.0,,6.57,,1.8,,,,,,,,,,3.09,1.84,,,,,4.48,,7.85,12.88,1.96,8.82,,10.25,,9.68,,2.0,,8.07,,,,,1.88,,,,2.02,,,2.6,,9.06,,10.22,,12.58,,7.6,,,,,,6.49,,13.31,,,4.52,,,1.29,,,3.5,,5.5,,10.0,,4.8,,7.19,,1.62,,8.17,,,7.35,,,,2.97,,3.68
2022-07-06,,,3.58,,,3.5,,3.3,,14.07,,,8.0,,,3.19,,,,3.69,,,2.4,,6.81,,3.1,3.42,8.89,10.06,1.79,17.78,2.28,4.5,4.4,,1.96,,,5.59,,2.88,,4.73,13.65,3.6,,,,,,19.0,,6.54,,1.8,,,,,,,,,,3.12,1.85,,,,,4.49,,6.14,13.22,1.97,7.84,,,,9.68,,2.0,,7.73,,,,,1.85,,,,2.03,,,2.6,,8.93,,,,,,9.11,,,,,,6.58,,13.6,,,4.63,,,1.28,,,3.79,,5.48,,,,4.8,,7.15,,1.62,,8.22,,,7.42,1.45,,,2.97,3.04,3.42
2022-07-07,,,3.53,,,3.52,,3.86,,14.05,8.49,,7.87,,,3.0,,,,3.29,,,2.4,,,,,3.44,8.84,10.06,1.8,18.23,,4.68,6.46,,1.96,,,5.6,,,,4.78,14.68,,,,,,,19.0,,6.59,,1.82,,,,0.5,,,,,,,1.92,,,,,4.49,,6.13,13.27,,7.32,,10.28,,9.68,,2.0,,6.43,,,,,0.99,,,,2.02,,,2.6,,8.84,,,,11.73,,9.35,,,,,,6.02,,13.6,,,4.78,,,1.25,,,3.93,,5.94,2.01,,,4.8,,7.15,,1.62,,8.25,,,7.42,1.44,,,2.97,2.98,3.4
